gene_symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
Ercc6l,11.2895606598384,0.0374260547491147,0.175417456746577,0.396025432110833,0.993518557544854
Kntc1,7.97210278535508,0.037410106586612,0.185063671903024,0.376876210173363,0.993518557544854
Kat2b,17.4497986319224,0.0373894228575967,0.158932481125008,0.434381329750014,0.993518557544854
Daxx,31.7567064828951,0.0373652808205621,0.143161141650505,0.454754400518539,0.993518557544854
Noc2l,82.0096151220382,0.0373586979232657,0.123887030174858,0.440878625025418,0.993518557544854
Etv5,24.9393380626492,0.0373415341710309,0.152134730525737,0.446740698019088,0.993518557544854
Ilk,66.6231961480686,0.0372441305452848,0.124962329920597,0.444107034617694,0.993518557544854
Bcap29,29.4386385710548,0.0372227825218205,0.146756767212667,0.454008001972802,0.993518557544854
Cenpf,16.6003852841345,0.0372218537983971,0.164527043528674,0.423630440346439,0.993518557544854
Mtx1,23.7580545034719,0.0371724279355189,0.15134079798738,0.449529972537265,0.993518557544854
Lactb,11.4713265453679,0.0371716779324176,0.170681933841305,0.40942179769779,0.993518557544854
Psma6,226.76495783439,0.036948590615117,0.0978868344692629,0.355407977172252,0.993518557544854
Mettl1,18.6269008329528,0.0368985865871978,0.159332757980018,0.438352334061976,0.993518557544854
Bop1,46.5772503917548,0.0368636210200983,0.135743528965423,0.459924644354307,0.993518557544854
Atf6b,58.3760433780161,0.036860255137304,0.129960730385219,0.455491229622898,0.993518557544854
Mast2,12.9546657821834,0.0367946410889684,0.168962331713819,0.417152743557624,0.993518557544854
Galnt1,41.711056314534,0.0367794962527081,0.13382681098976,0.459792989299664,0.993518557544854
Atad5,10.4622539121913,0.0367608807031412,0.175235198719388,0.402747856941777,0.993518557544854
Aspm,11.9524899806438,0.0367605842611047,0.172857481270073,0.408211397168937,0.993518557544854
Fam26f,4.48401142851289,0.0367098896076989,0.23253262032778,0.350346430492139,0.993518557544854
Tsc2,17.1129948187357,0.036690960371603,0.160101553331898,0.438771916874867,0.993518557544854
Ubxn6,37.5698562792382,0.0366480423533171,0.13703254295426,0.462722148955647,0.993518557544854
Rbm6,50.0351905729166,0.0365865659131606,0.128293580127119,0.456585000690466,0.993518557544854
Mcmbp,33.5574663233868,0.0365303824708166,0.143394980858934,0.46337247614434,0.993518557544854
Oasl1,7.83752678342899,0.0364897924494864,0.193960666896024,0.372475203686482,0.993518557544854
Hacd3,22.6137260081502,0.0364679598233668,0.150885477358198,0.45727750883438,0.993518557544854
Cmpk2,9.99203446530641,0.0364675057216528,0.183062542516755,0.389444489790158,0.993518557544854
Maged1,11.1030590955429,0.0364662078098657,0.200049680593192,0.366060523144358,0.993518557544854
Cacybp,63.8536788281254,0.0364548248663645,0.125920120029293,0.45473723467478,0.993518557544854
Tcof1,50.692263329365,0.0364452013182937,0.138373647478284,0.465175705436986,0.993518557544854
Eif3f,307.13942762503,0.036378052435018,0.0891588532894884,0.311728254982451,0.993518557544854
